sentiment,review_cleaned
negative,total disgrace truly awful screenplay dialogue joke combined director clue life saudi arabia surprise quite saudi film ha director palestiniancanadian writer lebanese lead actress jordanian shooting took place dubai elements show well make film far representing saudi society yes contains saudi clichs stuff see cartoons newspapers everyday thats everything film opportunity show real problem saudi society least give us something new genuine youth troubles concerns saudi arabia instead copied pasted there result mess even supposedly love story movie exist least seen it bright side total debacle good acting supporting cast veteran khaled sami funny badly written role grand father clearly got miscasted looks younger actor plays son also actor plays fanatic brothers role turki alyusuf done well fact best actor film rest cast professionals long ok job lead actor hisham abdulrahman bad one look little adorable bobby situations even say lines proper manner charisma made win title star academy famous reality show good interviews tv shows weakest link film lead actress mind much even acted badly scenes overplayed sensuality unneeded waybr br the film huge hit saudi flocked thousands neighboring bahrain dubai attend screened there made tone money screened pay per view broadcasting tv span weeks cash saudis eagerness homegrown entertainment alas film neither homegrown entertaining
negative,get good portion steven seagal environmental anxieties breathless mountain views along cowboy scenes or alternatively use parts remains horse whisperer add large piece outbreak virus similar attention must lethal least biohazard level wrapped around fat militia group leader add one teaspoon martial arts zip explosions gunfire taste add classic red indian herbs extra taste serve immediatelybr br what name film get patriot perhaps worst film steven seagal sure seagal tried say something film except usual iamacook butalsoanexseal recipe confusing taste awful
negative,say think write spoiler alert reveal used fword lot movie like every two sentences like movie much hints sexual perversions sidesteps cheating swearing totally window gave movie two points mira sorvinos sexy movements dance floor
positive,great game okay perhaps features meant digital anvil still come good game certain similarity eliteyou trade pick weapons cargo destroyed ships go missionshowever game features heavily scripted mission great mission control system different uses mouse basically fly spaceship around system work way up game features pretty good graphics even made run well even modestly specified pc story features great voice acting john rhys davies george takei jennifer haleshe appears every computer game stick story gets better better goes on even race section opponent race spaceships around courseit involves going rings section took beat adds variety game sections little tough overall beat game game active mod scene net pick mods extend game played mods yet br br sadly sequel cancelled shame
positive,kooky funny bit diversion kind see beginning follow whats happening report earth little joke pretty good special effects low budget scifi tv show fun watch sort vein red dwarf even low budget someone whos coming middle one episodes realize guys incompetent theyve moved ladder command officers died also main guys laundry corps laundry everything like red dwarf probably like this slightly different tv concept see commanders report daybr br it would better explained more beginning first episode pretty hard figure happened red dwarf too told
negative,went movie thinking going next clerks left feeling let down humor weak characters fairly flat say bad idea dating service grocery store seemed like pretty fertile material director switched focus cliched save momandpop store evil corporation guy felt like would stuck dating service plot would come much memorable movie now film justice rochester area loved way portrayed webster fact best kevin smith of clerks homage giving props hometown webster ny checkout red bank nj clerks director wisely threw date nick tahous trust me far things rochester garbage plate top list lucky enough see film little rochester everybody knew odes town came appreciated them
negative,absolutely putrid slasher film one redeeming quality camp councellor angelapamela andersonawful killerher quips wastes people even amusingon warpath slaying teenagers act least bit naughty resist pleadings good behavior run gamut boring clichd killings slashing throat one kid looking freddy clawed glove kid gets chainsaw one girl gets drilled one gets shoved crapperfilled leeches one roasted etcbr br it one original idea offer merely waste time unless want see valerie hartmenswho plays slut allytits violence occurs offscreen even satisfy
negative,kitten natividad russ meyer film fame plays chastity knott woman found breast cancer goes south america get special fruit crockazilla supposed healing powers going fruit which appears plastic bananas stalks chastity endowed mystical magical powers makes superhero specifically double avenger note also wearing pair panties mask writing sounds pretty good execution well leaves little desired seems chastity owns pub local strip joint upset taking away business strippers including haji also russ meyer film fame go ruin her course chastity fights back guise double avenger watch wonder woman type spin change outfit also lose balance due excessive centrifugal force bad jokes lame double entendres fly like tomorrow inane theme song playing comes like twisted s live action kids show adult content although unrated could probably get away pg worst probably blessing faded stars kept well covered makes doris wishmans chesty morgan films look positively wonderful comparison special appearance forest j ackerman what stupid im never buying another film joe bob briggs cover
negative,right black mama white mama also known women chains exactly kind trashy crappy bmovie premise suggests pam grier thrown prison small island lot women place seriously makes summer camp martha stewart locked right look like maximumsecurity prison five minutes movie one hottie guards utters line strip em get em wet introduced prison life resembles college freshmans fantasy inside sorority house like br br the prisoners soap rub wrestle shower like girls gone wild shoot hang together dorm openly smoking pot discussing big group would best ways escape ive never prison myself feeling escape plans kind thing want people possible know about prisoners guards otherwise biggest difference prison life fantasy sorority life women movie wear orange cardigans and pants go figure say prison back must generic prison outfits prisons cant afford pricey accessories like prison name prisoner numbers uniformsbr br and expected prison cant afford put prisoner identification backs uniforms obviously expect able find guards interested guarding prisoners much sex prisoners otherbr br the conflict movies title refers fact lee daniels pam grier spends much time handcuffed blonde prisoner named karen run cops escaping prison go details escape except say might seen something like fugitive unable afford stage train wreck leads muddled story conflicting interests also chasing two women different reasons karen lee gangs people hoping rescue respective escaped prisoner cops whilebr br spoilers karen involved bunch hippies want revolutionize life know it meanwhile karen wants get island something trying years perfect need go completely opposite sides island order fulfill goals get odd couple pairing and since odd couple hard predict hate vast majority film grow fond endbr br in movie many conflicting interests especially conflicting interests propel two main characters opposite directions pursue goals unreasonable expect climactic moment involving rival gangs point movie leave anyone unsatisfied throw stupid gang standoff end movie everyone shoots machine guns other killing en masse two women paddle safely calmly across river little boat nice br br even better end movie huge massacre lots people get shot spurt bright red paint place captain police looks masses dead criminals covered awful awful special effects learn major dinner bad way end movie criminals kill cops get credit last line film its better win it br br is captain going get promoted major figured out
negative,handful segments engaging here segment garage attendant nigeria heartbreaking one fanny ardent bob hoskins makes point twist twist final shot overplays things br br the problem movie clips invoke paris others scattershot theme tone volition production may well watching the years best commercials really place develop running time nothing reigns directors in construct successfully joins pieces tedium sets in im one hour twenty minute point elijah wood dumb overcommercial overproduced vampire shtick much paris old ladies knitting antartic fantasy shows think first coen brothers segment uh thanks j e ruining another movie makes way many appearances point paris need makebelieve crap make days extraordinary divide neighborhood quartier de la madeleine equated vampires loser director ever genre overrepresented vampire film every three years get lame vampire clichsbr br making things worse switch segment segment pretty artless transitions get lost feel intentional feels sloppy
negative,difficult sit horrible heretical adaptation sherlock holmes apparently matt frewer cast tall skinny skulllike face made good zombie dawn dead remake sherlock holmes looks like scarecrow frewer lanky lackadaisical walk hard watch looks uncomfortable stereotypical holmes overcoats wearing that coat gray twill apparently could find matching cap cap black looks shiny made polyester whatever cap made of looked new artificial jeremy brett occasionally wore traditional outfits brett dressup like sherlock holmes order look part frewer hand painful watch even full holmes outfit carry like sherlock holmesbr br frewers cadaverous face grinning time spouts bad uppercrust british accent painful see listen to say frewer overacting understatement finishes sentence kind nasal hum sneers kind british trait started watching thought might comedy featuring wishbone jack russell terrier thought frewer cast kind foil wishbone sadly dog movie except frewer wishbone would made movie lot betterbr br not frewers version sherlock holmes never stop talking in awfully artificial british nasal accent much friendly kind frewer always smiling witnesses talks to polite courteous could teaching charm school instead sleuth perhaps since hallmark channel production trying make childrens version sherlock holmes wishbone better that too kindler gentler whatever point frewers interpretation sherlock holmes flatter pancake easily worst version sherlock holmes ever seen including previous worst charlton hestonbr br overall tone film awful reminded typical episode barnaby jones murder wrote diagnosis murder suspects overacted suspiciously glared victims killed holmes watson explaining every clue entire movie even murder wrote less expositionbr br this sherlock holmes even compare well jim rockford rockford files miles columbo awful dialog probably fault writer obvious ever wrote script little familiarity sherlock holmes especially bbc version jeremy brett movie atmosphere episode little house prairie fact actors seem smirking enunciate lines fake accents helpbr br the minor bright spot ken walsh plays doctor watson dignity walsh ham compared frewer often interviewing witnesses demeanor conversational style much natural credible unfortunately rest cast amateurish visual clues give glaring making faces to show suspicious something seen modern movie
negative,amazed director antals kontroll back first american project vacancy less impressive decent start armored second feature visual signature recognizable film never rises level b movie br br its shame main premise ingredients twists turns ensemble cast featuring many quality actors able deliver antal could made great heist film instead goes action flick could shot cool action flick really deliver department either br br what left one implausible situation another group poorly sketched characters bicker fight sum money look past sharp cinematography cast tight music score left could average directtovideo featuring van damme seagal br br this probably disappointing movie quite time
negative,lucio fulci famous italian splatter movies mostly undead films like zombie beyond directed black comedy sorts theres one problem nauseating say knowing like city walking dead which also gross like this compulsive gambler gets money habit romancing ugly deformed rich women murdering stealing cash film makes plan look easy guess women ugly go bank always cash person upteenth murder began suspect ive always heard fulci hated women must have rate film stinks funny fulci stayed giallo supernatural zombie movies avoid film costs
positive,almost unknown gem based french farcewhich shows mean compliment br br caroline lee courted wealthy argentinian roland asks father hand marriage caroline already married anthony colman arrived plane launches immediately audiencedirected reminiscence last time caroline decided love someone else dilettanteish sculptor gardiner film plays story anthonys strategy uncoupling caroline sculptor experience aids argentinianbr br it perfectly cast ronald colman sophisticated charming reginald gardiner priggish gilbert roland exotic anna lee deliciously whimsical film wonderfully directed lewis milestone who also produced whole production feels like labor love wonderful touches colman breaking frame addressing camera exceptional use sliding barcabinet door sin released dvdthis kind film singlehandedly awaken interest classic film
negative,uwe boll done impossible create game adaptation stays least somewhat true game turned game full antisocial offensive content movie full antisocial offensive content so adaptation successbr br unfortunately still uwe boll dealing here expect movie actually good moment postal wears welcome fast becomes pain sit throughbr br at core postal satire united states done twelve year old kid boll seems think offensiveness linearly proportional comedic value offensive funnier exaggerated funnier results movie sets new levels tastelessness extremely hit miss yes gags work seems pure luck high points include director satirizing himself people getting hit violently trucks vehicles low points includewell pretty much everything elsebr br after initial surprise wears off postal simply becomes bore watch yes good joke every good point ten minutes everything else consists hordes annoying characters shooting chasing place seems eternitybr br this probably would worked short movie enough content something lasts minutes although feels twice long nice ideas nice tries get hopelessly lost endless pointless action scenes content offensive sake
negative,hearing people behind lowbudget flicks terror rocknroll nsjn it came outer space stuff involved making movie decided buy unseen dvd wish hadnt movies funny tongueincheek kinda stupid kraftverk devoid humor all godawful im getting angry thinking it worst actors possible worst script possible worst special effects available unsexy sex scene ever uhhh whole thing goes hours minutes please ever make another movie
negative,echo sentiment already expressed commenters city god meets happy days bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing approach one two ways gritty realistic movie turned sappy sappy abcafterschoolspecial profanity violence animal cruelty either way fly it received much praise others implied gets conscience vote west show us pictures poverty contrast fluffy doublewide theatre seats oz cokes well applaud heartbeat butohdont forget candy coat it bitter pill reality tantalizing is hard us swallowbr br im terribly disappointed film would receive many awards accolades especially far deserving works film there say is beware film receives awards hollywood oscars sweeping syrupy tripe cannes film festival beardstroking artless propaganda find real gems work hard it
negative,predictable hackneyed poorly written foolishly reasoned prominent cast would involved unless merit guess competition amongst actors intense days and get worse one cannot pick choose much more early given inkling instrumental assassination rammed throats ever since movie lacked intrigue giving us little insight victim one possible motive murder discourse was frankly embarrassing hard believe anyone would even consider let alone commit to spending tens millions dollars make tripe
negative,strange mix traditionals smartassy chevy chasetype everytenlinesyougetafunnyone farce sickie black comedy mildly amusing spots utterly tasteless skiing sequence includes fakestlooking backprojections since on majestys secret service
positive,several years ago navy kept studied distance away making men honor film based experiences services first black master chief divers struggle overcome virulent racism ever eager support films showing navys best side uss nimitz two helicopter assault carriers supporting shore installations provided complement engrossing tale young sailors battle uncontrollable rage movie shot aboard uss belleau woodbr br antwone fisher wrote script denzel washingtons directors debut stars navy psychiatrist treating fisher played effectively deeply derek lukebr br fisher obviously bright enlisted man assigned uss belleau wood lha front line helicopter assault platform fisher cant seem avoid launching assaults minimal provocation fellow enlisted men sent md part possible preseparation proceeding fisher slowly opens black psychiatrist revealing awful childhood great neglect shuddering brutalitybr br the story develops fisher cautiously increasingly trusts doctor gets courage pursue love interest enlisted sailor named cheryl played stunningly beautiful joy bryantbr br fisher reluctantly engages doctor asking long simmering questions soon realizes must seek answers however painful order grow move away conflictseeking destructive behaviorbr br while main characters black story transcends race unflinchingly showing evil exuberant religiosity concomitant hypocrisy foster family settings viola davis versatile actress seen number recent films picture sullen immorality nothing compared foster mom mrs tate novella nelson short searing scenes would earn existed oscar gutchurning brutalitybr br films patienttherapist interaction follow certain predictability all transference countertransference stuff earnestness fisher doctormentor realistically gripping good story well told periodbr br while set navy antwone fisher real sense service story men honor excellent movie dealt crushing racism directed real person truly film blacks surviving terrible childhood experiences and fisher says able proclaim adulthood victim still standing tall persecutors shrink size significance brave strong young man claims right decent life aid caring doctorbr br my quibble washington lieutenant commander addressed commander navy support people listed end credits someone told director washington character like naval officers rank commander addressed mister big criticism it br br i know film playing theaters deserves wide distribution derek luke may well get oscar nominationbr br br br
positive,whats name loudon loudon what clearbr br that gag still gets me twenty one years film releasedbr br i loved film back love today must watched hundred times back day bought dvd recently could still remember dialoguebr br madonna plays nikki finn young woman jailed crime commit gets decides seek revengebr br griffin dunne whatever happened him plays attorney fiances father john mcmartin future fatherinlaw asks loudon take nikki prison bus station make sure gets bus part supposed new public relations programme seemingly easy task complications aplenty funny dialogue admittedly stupidbutfunny scenes along waybr br madonna stupid voice film able watch subtitles made one two lines dialogue incomprehensible hence hand cant imagine normal voicebr br this film shows madonnas comic side too lacking days perhaps genuinely funny role dunne makes great foil haviland morris perfect uppity fiancebr br yes predictable yes jokes could better think great film happily sit watch times more
positive,finally got hold excellent sazuma dvd film loaded interesting extras read quite lot it unfortunately missed stockholm film festival quite deliver thought would still worth watching like strange unique movies much rather watch recent socalled horror films vomited hollywood days detracts experience me certain music cues sound dated rely much cheap synth sounds me tonalharmonic elements score could lifted out replaced david kristians excellent sound design opinion otherwise daring angry picture welcome meditative poetic parts like fading photograph sequence beautiful look forward seeing ascension applaud mitch karim efforts producing nonmainstream cinema great inspiration soon embark short film production
positive,sure movie sappy sweet full clichs entertaining thats watch movies for entertained natasha henstridge stunning even short hair smile radiant beauty cant disguised michael vartan im sure women love him two seemed really like eacb film understand comments chemistry them guess see want seebr br olivia dabo michael rigoli fun watch even dabos british accent creep supposed bronx speech tell truth really noticed read comments went back dvd dialogue sounds british american me ideal role one exception br br its story two nice people getting married significant others find soul mates one another may unlikely story says movies supposed play like documentaries unrealistic dramas screened every hour tube thats watch them escape humdrum daily living short time enter world characters screen thought actors good job it hey im sentimental guy tears easily get wrong though sentimental scene movie plenty thosebr br i give im saving yet unseen super magnificent movie know come along day see advertised coming movie channel lifetime movies whatever make note watch it think like it
positive,one jane austens movies found delightful read book first listened cd captivated young victorian girl could persuaded marrying man loved due lack fortune education joy knowing anne evidently reunited lost love fact godmother tries marry good nothing cousin whos money looking snobbery comes upper classes class distinctions divide couples following hearts captain wentworth realization still loves anne seven years final understanding annes love constant time going let family interfere true happiness eventual marriage one truly loved
negative,world said film tashan would good movie great pleasure case vijay krishna acharya made serious mistake take actress kareena kapoor unbearable throughout film tomboy look really goes well even film story film making sense all everyone said quetin taratino india vijay quetin talent anil kapoor involved stupid movie anil actor large caliber film not akshay kumar also victim film saif style phoormola really good film disappointed
positive,film last piece three colours trilogy also best three one best movies s theres hardly another movie wisely consequently asks humanity respect every human being br br valentine irene jacob lives geneva works model though boyfriend seems rather lonely one night accident injures dog leads owner retired jugde jeanlouis trintignant cynical spies neighbors phone calls disgusted cannot go away meet again two lonely souls meet become friends develop deep love other br br the story complex told completely another connection young man represents judge valentines real love relationship friendshipbr br the actors wonderful irene jacob jeanlouis trintignant developing deep authentic friendship br br the topics endless validity fraternity contact other also respect right privacy alarmingly seem loose right more makes movies like one even important might br br red one strongest colours exists representing inner turmoil love anger passion used another protagonist brings unmatched depth movie masterpiece
negative,cant believe even tried watch filth avid bhorror movie fan riveted prospect film popular budget horror filmmaker herschell gordon lewis unfortunately right opening film could not life me think worse movie this well maybe gigli firmly believe dr gore the body shop worse think it horrible plot moves incredibly slow movie drags real horror speak of however admit pure hilarity couple scenes dr gore mesmorizing soontobe victims camera zooms overly large bulbous eyes whole time purely putrid soundtrack add amusement laughed better part minutes erects miracle woman movie wastes away nearly minutes showing girlfriend teaching speak talk frolic among marigolds picnics etc unfortunately music playing whole fandango speech whatsoever portion movie leave wishing slit wrists dull edge butter knife almost want puke thought movie like movies bad watch one
negative,nothing paul schrader fact hardcore one favorite films horror movie fans premature uproar original version exorcist prequel dominion one reading right now turns out scrapped warners renny harlin substituted spruce things make new version more scary opinion viewers prejudiced became automatically juiced hating renny harlins take subject exorcist beginning first frame film ever even unspooled judge ought know went theatrical premiere beginning stubborn arms folded prepared absolute worst sure come imagine surprise found harlins beginning much serious ever could conceived good performance stellan skarsgard young version father merrin struggling faith god great film means nowhere near garbage prepared for well advance sight unseenbr br well finally seen true garbage version paul schraders dominion prequel exorcist relentlessly talky uninteresting insipid stellan skarsgards troubled priest nowhere near interesting harlins film actor good part pointed obvious cgi effects beginning guess what theyre dominion well remember silly ending harlins rendition which ill also agree tainted rest movie well going find ending schrader hell lot less lamebr br let also say resent nonsense thats presented appreciate film better harlins saying were retards cannot appreciate subtle filmmaking person despises stephen sommers mtvfashioned mummy true fan suggestive discreet old horror films s s assure case me least some degree terror exorcisttype goings harlins beginning one real exercise tedium great challenge even certified insomniacs going quite interesting hear horror fans try convince dominion prequel exorcist good theyd already made minds advance already predisposed lambasting harlins beginning second learned paul schraders name getting soaked whiteout
negative,ive seen bad things time half dead cow trying get waist high mud head collision two cars thousand plates smashing kitchen floor human beings living like animalsbr br but never life seen anything bad cat hatbr br this film worse worse hitler worse vllad impaler worse people put kittens microwavesbr br it disturbing film time easybr br i used think joke elaborate joke mike myers maybe high cocaine sniffing drug addled betting junkie lost bet somethingbr br i shudder
negative,many decades since last read mr wells war worlds the time machine works believe set london least england grade b c movie set eastern part united states orson welles excellent radio adaptation years ago however film exhibits none quality narrative style mercury playhouse program thomas howells emoting would acceptable high school drama clubs actually embarrassed him rolling around grass hill crying my family family almost laughable reaction death brother three film versions story seen far worst gene barrys s version best additionaally first time ever saw machine monster dripping sticky saliva creature alien
positive,may or may not considered interesting reason really checked movie first place wanted see performance man beat humphrey bogart casablanca role best actor oscar i still would given oscar bogie paul lukas great job deserved nomination least well im glad check movie out enjoyed immensely think movie preach little mind enjoyed speeches never bored thembr br the acting outstanding movie especially enjoyed paul lukas lucile watson rightfully nominated oscar bette davis wrongfully nominated george coulouris and oddly eric roberts plays middle child really enjoyed character oddlooking boy talks like sort philosopher cracks up even characters name bodo funny br br the ending lukass character forced something considered wrong even though right reasons worked well agreed felt did understood quite explain it message movie makes good noble one scenery meaning house beautiful acting excellent watch movie ever get chancebr br
negative,another long line flicks made people think knowing operate camera telling story within minutes entire premise laid lines absolutely mystery eliminates whole facet suspense halfway competent actor killed minutes film were left stupid characters running around stupid things low budget films cant afford expensive special effects cgi portions unsurprisingly unimpressive least valid attempt creature suit terrible seen falls sidewalk director keeps emphasizing eyes even red color shown mirror shots dialogue clumsy uninspired lines reminiscent aliens terminator last action sequence takes place police station also ripoff terminator everyone hiding one glass lined office darkwolf smash into end girl calls hero a good protector gets partners original protector least three civilians mention dozen cops killed without getting decent shot off spite arsenal silver bullets submachine gun heres real clincher bad writing could killed beast right beginning credits holding stripper flashing red eyes instead took custody
positive,rated r strong languageviolent content nudity quebec rating canadian home video ratingabr br fear black hat one funniest original comedies ever seenits basically gangsta rap version film spinal tapits shame many people heard gem filmif manage find film anywhere hesitate buy even like rap musicthere many comedy films give perfect tothe ones think moment filmclerksthe world according garpthe year old virgin chasing amythis film hilarious stereotype gangsta rap culturethe movie woman named nina blackburn making documentary fictional rap group nwhnz hatsthey basically stereotype rap group making many controversial rap songs killing gangstafear black hat excellent comedic film recommend even fan gangsta rap sceneits shame film top br br runtimemin br br
positive,one alfred hitchcocks best films one underrated believe certainly exceeds psycho the birds technical artistry brilliance macabre tense darkly humorous product leave awe quite timebr br robert walker creates one hitchcocks memorable villains fatherhating motherfixated but hitchcocks villains mummys boys bruno disturbing stunning performance illuminates whole film character obsessive apparently homosexual look deliberately effeminate ties hear described european strangely charming dangerous cross farley granger certainly knows becomes entangled brunos sordid web pair meet train bruno knowing inside information guys affairs proposes two swap murders others benefit walker kill grangers slutty conniving wife inhibiting marriage beautiful anne whilst granger murder brunos father intensely hates everyones happy right winwin bruno asserts wrong granger forgets indecent proposal obsessed walker doesnt commits murder determined hound granger completes side bargain too strangers becomes riveting suspenseful game catandmouse hitchs capable handsbr br hitchcock absolutely amazing creating intriguing minor characters building scenes whore miriam grangers estranged wife pregnant another man lasciviously slurps phallic icecream cone whilst openly eating bruno eyes barbara morton annes sister deceptively sweet yet smart cunning young girl comes crude remarks hear bespectacled girl pictures s senator morton authoritative selfabsorbed one daring films hitchcock ever made is typical hitch film subtly sexual detailbr br this fits filmnoir category focus murder lies deceit shadowy cinematography walkers nut one ages granger makes convincing troubled protagonist roman perhaps weaker two never believed relationship granger still overwhelming positives cancel slight negatives safely said one best american films ever madebr br just look hitch here originality technical skill see murder miriam reflected shattered glasses game tennis turns one thrilling intense scenes ever see innocent fairground turns place murder foul occurrences young boys balloon popped callously walker hitch obviously liked saw the third manchildrens delight riding carousel turns screaming fastpaced terror hitch subverts normal everyday events like otherbr br the camerawork among best ever seen hitchcock film premise todiefor slick oozes sophistication devilish charm crosscutting walker grangers characters magnificent grangers doordie tennis match vital villain walkers rescue incriminating piece evidence lost drain hitch build villain nasty repulsive yet sympathetic oddly charming did anyone else find strangely attractive granger piece work tense walker hope get lighter drain need to anyway holds key storybr br youll never view approach stranger way seeing filmbr br amazingbr br
positive,movie really sick funny made friends cringe describing them saw months ago still song shall gather river echoing headbr br so basically tromatized romeo juliet goes beyond would expect lets say incest references child molestation gore of course unfortunately sort happy endingsort ofits weird happy cappy capulet brilliant sort intellectual snobbish tone hes abusive civilised quotes shakespeare anyone else filmall engaging sadistic role husband fatherbr br the meat guy pretty cool too juliets fianc deeply infatuated her soon heartbroken tromeo tromeo true romantic hes handsome really sweet guy desperate find true love she doth make torches burn brightly unfortunately troma resort awful fake green vomit antics really get carried away stuff sometimes hey film made great impression me often refer real life situationswow thats patheticbr br anyway enjoy
negative,friends went movie knowing expect hoping best came out slightly informed plot movie actually was though worst movie ive ever seen definitely recommend spending money see theaters maybe friend rent its even worth rental cost either really want see itbr br when movie convoluted idea whats going last five minutes theres really much said defense acting decent expect get movie shots good bogged lame plot poor scriptbr br this movie actually bad soon got out went purchased ticket see good movie cleanse mind recommend skip first step go see good movie instead
