sentiment,review_lemmatized
negative,get good portion steven seagal environmental anxiety breathless mountain view along cowboy scene or alternatively use part remain horse whisperer add large piece outbreak virus similar attention must lethal least biohazard level wrap around fat militia group leader add one teaspoon martial art zip explosion gunfire taste add classic red indian herb extra taste serve immediatelybr br what name film get patriot perhaps bad film steven seagal sure seagal try say something film except usual iamacook butalsoanexseal recipe confuse taste awful
negative,say think write spoiler alert reveal use fword lot movie like every two sentence like movie much hint sexual perversion sidestep cheat swear totally window give movie two point mira sorvino sexy movement dance floor
positive,great game okay perhaps feature mean digital anvil still come good game certain similarity eliteyou trade pick weapon cargo destroy ship go missionshowever game feature heavily scripted mission great mission control system different use mouse basically fly spaceship around system work way up game feature pretty good graphic even make run well even modestly specify pc story feature great voice act john rhys davies george takei jennifer haleshe appear every computer game stick story get well well go on even race section opponent race spaceship around courseit involve go ring section take beat add variety game section little tough overall beat game game active mod scene net pick mod extend game play mod yet br br sadly sequel cancel shame
positive,kooky funny bit diversion kind see beginning follow what s happen report earth little joke pretty good special effect low budget scifi tv show fun watch sort vein red dwarf even low budget someone who s come middle one episode realize guy incompetent they ve move ladder command officer die also main guy laundry corps laundry everything like red dwarf probably like this slightly different tv concept see commander report daybr br it would well explain more begin first episode pretty hard figure happen red dwarf too tell
negative,go movie thinking go next clerk leave feeling let down humor weak character fairly flat say bad idea date service grocery store seem like pretty fertile material director switch focus cliched save momandpop store evil corporation guy feel like would stuck date service plot would come much memorable movie now film justice rochester area love way portray webster fact good kevin smith of clerk homage give prop hometown webster ny checkout red bank nj clerk director wisely throw date nick tahous trust I far thing rochester garbage plate top list lucky enough see film little rochester everybody know ode town come appreciate they
negative,absolutely putrid slasher film one redeem quality camp councellor angelapamela andersonawful killerher quip waste people even amusingon warpath slaying teenager act least bit naughty resist pleading good behavior run gamut bore clichd killing slash throat one kid look freddy claw glove kid get chainsaw one girl gets drill one gets shove crapperfille leech one roasted etcbr br it one original idea offer merely waste time unless want see valerie hartmenswho play slut allytit violence occur offscreen even satisfy
negative,kitten natividad russ meyer film fame play chastity knott woman find breast cancer go south america get special fruit crockazilla suppose healing power go fruit which appear plastic banana stalk chastity endow mystical magical power make superhero specifically double avenger note also wear pair pantie mask writing sound pretty good execution well leave little desire seem chastity own pub local strip joint upset take away business stripper include haji also russ meyer film fame go ruin her course chastity fight back guise double avenger watch wonder woman type spin change outfit also lose balance due excessive centrifugal force bad joke lame double entendre fly like tomorrow inane theme song playing come like twist s live action kid show adult content although unrated could probably get away pg bad probably blessing fade star keep well covered make doris wishmans chesty morgan film look positively wonderful comparison special appearance forest j ackerman what stupid I m never buy another film joe bob briggs cover
negative,right black mama white mama also know woman chain exactly kind trashy crappy bmovie premise suggest pam grier throw prison small island lot woman place seriously make summer camp martha stewart lock right look like maximumsecurity prison five minute movie one hottie guard utter line strip em get em wet introduce prison life resemble college freshman fantasy inside sorority house like br br the prisoner soap rub wrestle shower like girl go wild shoot hang together dorm openly smoke pot discuss big group would good way escape I ve never prison myself feel escape plan kind thing want people possible know about prisoner guard otherwise big difference prison life fantasy sorority life woman movie wear orange cardigan and pant go figure say prison back must generic prison outfit prison can not afford pricey accessory like prison name prisoner number uniformsbr br and expect prison can not afford put prisoner identification back uniform obviously expect able find guard interested guard prisoner much sex prisoner otherbr br the conflict movie title refer fact lee daniels pam grier spend much time handcuff blonde prisoner name karen run cop escape prison go detail escape except say might see something like fugitive unable afford stage train wreck lead muddle story conflict interest also chase two woman different reason karen lee gang people hope rescue respective escape prisoner cop whilebr br spoilers karen involve bunch hippie want revolutionize life know it meanwhile karen want get island something try year perfect need go completely opposite side island order fulfill goal get odd couple pair and since odd couple hard predict hate vast majority film grow fond endbr br in movie many conflict interest especially conflict interest propel two main character opposite direction pursue goal unreasonable expect climactic moment involve rival gang point movie leave anyone unsatisfied throw stupid gang standoff end movie everyone shoot machine gun other kill en masse two woman paddle safely calmly across river little boat nice br br even well end movie huge massacre lot people get shoot spurt bright red paint place captain police look masse dead criminal cover awful awful special effect learn major dinner bad way end movie criminal kill cop get credit last line film its well win it br br be captain going get promote major figure out
negative,handful segment engage here segment garage attendant nigeria heartbreake one fanny ardent bob hoskin make point twist twist final shot overplay thing br br the problem movie clip invoke paris other scattershot theme tone volition production may well watch the year good commercial really place develop running time nothing reign director in construct successfully join piece tedium set in I m one hour twenty minute point elijah wood dumb overcommercial overproduced vampire shtick much paris old lady knit antartic fantasy show think first coen brothers segment uh thank j e ruin another movie make way many appearance point paris need makebelieve crap make day extraordinary divide neighborhood quarti de la madeleine equate vampire loser director ever genre overrepresente vampire film every three year get lame vampire clichsbr br make thing bad switch segment segment pretty artless transition get lose feel intentional feel sloppy
negative,difficult sit horrible heretical adaptation sherlock holmes apparently matt frewer cast tall skinny skulllike face make good zombie dawn dead remake sherlock holme look like scarecrow frewer lanky lackadaisical walk hard watch look uncomfortable stereotypical holme overcoat wear that coat gray twill apparently could find match cap cap black look shiny make polyester whatever cap make of look new artificial jeremy brett occasionally wear traditional outfit brett dressup like sherlock holmes order look part frewer hand painful watch even full holme outfit carry like sherlock holmesbr br frewers cadaverous face grin time spout bad uppercrust british accent painful see listen to say frewer overact understatement finish sentence kind nasal hum sneer kind british trait start watch thought might comedy feature wishbone jack russell terrier think frewer cast kind foil wishbone sadly dog movie except frewer wishbone would make movie lot betterbr br not frewer version sherlock holme never stop talk in awfully artificial british nasal accent much friendly kind frewer always smile witness talk to polite courteous could teach charm school instead sleuth perhaps since hallmark channel production try make children version sherlock holmes wishbone well that too kindler gentle whatever point frewer interpretation sherlock holmes flatter pancake easily bad version sherlock holmes ever see include previous bad charlton hestonbr br overall tone film awful remind typical episode barnaby jones murder write diagnosis murder suspect overact suspiciously glare victim kill holme watson explain every clue entire movie even murder write less expositionbr br this sherlock holme even compare well jim rockford rockford files mile columbo awful dialog probably fault writer obvious ever write script little familiarity sherlock holmes especially bbc version jeremy brett movie atmosphere episode little house prairie fact actor seem smirk enunciate line fake accent helpbr br the minor bright spot ken walsh play doctor watson dignity walsh ham compare frewer often interview witness demeanor conversational style much natural credible unfortunately rest cast amateurish visual clue give glaring making face to show suspicious something see modern movie
negative,amazed director antal kontroll back first american project vacancy less impressive decent start armored second feature visual signature recognizable film never rise level b movie br br its shame main premise ingredient twist turn ensemble cast feature many quality actor able deliver antal could make great heist film instead go action flick could shot cool action flick really deliver department either br br what leave one implausible situation another group poorly sketch character bicker fight sum money look past sharp cinematography cast tight music score leave could average directtovideo feature van damme seagal br br this probably disappointing movie quite time
negative,lucio fulci famous italian splatter movie mostly undead film like zombie beyond direct black comedy sort there s one problem nauseate say know like city walk dead which also gross like this compulsive gambler get money habit romancing ugly deform rich woman murder steal cash film make plan look easy guess woman ugly go bank always cash person upteenth murder begin suspect I ve always hear fulci hate woman must have rate film stink funny fulci stay giallo supernatural zombie movie avoid film cost
positive,almost unknown gem base french farcewhich show mean compliment br br caroline lee court wealthy argentinian roland ask father hand marriage caroline already marry anthony colman arrive plane launch immediately audiencedirecte reminiscence last time caroline decide love someone else dilettanteish sculptor gardiner film play story anthony strategy uncouple caroline sculptor experience aids argentinianbr br it perfectly cast ronald colman sophisticated charming reginald gardiner priggish gilbert roland exotic anna lee deliciously whimsical film wonderfully direct lewis milestone who also produce whole production feel like labor love wonderful touch colman break frame address camera exceptional use slide barcabinet door sin release dvdthis kind film singlehandedly awaken interest classic film
negative,uwe boll do impossible create game adaptation stay least somewhat true game turn game full antisocial offensive content movie full antisocial offensive content so adaptation successbr br unfortunately still uwe boll deal here expect movie actually good moment postal wear welcome fast become pain sit throughbr br at core postal satire united states do twelve year old kid boll seem think offensiveness linearly proportional comedic value offensive funny exaggerated funny result movie set new level tastelessness extremely hit miss yes gag work seem pure luck high point include director satirize himself people getting hit violently truck vehicle low point includewell pretty much everything elsebr br after initial surprise wear off postal simply become bore watch yes good joke every good point ten minute everything else consist horde annoying character shoot chase place seem eternitybr br this probably would work short movie enough content something last minute although feel twice long nice idea nice try get hopelessly lose endless pointless action scene content offensive sake
negative,hear people behind lowbudget flick terror rocknroll nsjn it come outer space stuff involve make movie decide buy unseen dvd wish have not movie funny tongueincheek kinda stupid kraftverk devoid humor all godawful I m get angry thinking it bad actor possible bad script possible bad special effect available unsexy sex scene ever uhhh whole thing go hour minute please ever make another movie
negative,echo sentiment already express commenter city god meet happy day bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing approach one two way gritty realistic movie turn sappy sappy abcafterschoolspecial profanity violence animal cruelty either way fly it receive much praise other imply get conscience vote west show we picture poverty contrast fluffy doublewide theatre seat oz coke well applaud heartbeat butohdont forget candy coat it bitter pill reality tantalizing be hard us swallowbr br i m terribly disappoint film would receive many award accolade especially far deserve work film there say be beware film receive award hollywood oscar sweep syrupy tripe canne film festival beardstroking artless propaganda find real gem work hard it
negative,predictable hackneyed poorly write foolishly reason prominent cast would involve unless merit guess competition amongst actor intense day and get bad one can not pick choose much more early give inkle instrumental assassination ram throat ever since movie lack intrigue give we little insight victim one possible motive murder discourse be frankly embarrassing hard believe anyone would even consider let alone commit to spend ten million dollar make tripe
negative,strange mix traditional smartassy chevy chasetype everytenlinesyougetafunnyone farce sickie black comedy mildly amusing spot utterly tasteless skiing sequence include fakestlooke backprojection since on majestys secret service
positive,several year ago navy keep study distance away make man honor film base experience service first black master chief diver struggle overcome virulent racism ever eager support film show navys good side uss nimitz two helicopter assault carrier support shore installation provide complement engross tale young sailor battle uncontrollable rage movie shoot aboard uss belleau woodbr br antwone fisher write script denzel washington director debut stars navy psychiatrist treating fisher play effectively deeply derek lukebr br fisher obviously bright enlisted man assign uss belleau wood lha front line helicopter assault platform fisher can not seem avoid launch assault minimal provocation fellow enlist man send md part possible preseparation proceed fisher slowly open black psychiatrist reveal awful childhood great neglect shudder brutalitybr br the story develop fisher cautiously increasingly trust doctor get courage pursue love interest enlist sailor name cheryl play stunningly beautiful joy bryantbr br fisher reluctantly engage doctor ask long simmer question soon realize must seek answer however painful order grow move away conflictseeke destructive behaviorbr br while main character black story transcend race unflinchingly show evil exuberant religiosity concomitant hypocrisy foster family setting viola davis versatile actress see number recent film picture sullen immorality nothing compare foster mom mrs tate novella nelson short searing scene would earn exist oscar gutchurne brutalitybr br film patienttherapist interaction follow certain predictability all transference countertransference stuff earnestness fisher doctormentor realistically grip good story well tell periodbr br while set navy antwone fisher real sense service story man honor excellent movie deal crush racism direct real person truly film black survive terrible childhood experience and fisher say able proclaim adulthood victim still stand tall persecutor shrink size significance brave strong young man claim right decent life aid care doctorbr br my quibble washington lieutenant commander address commander navy support people list end credit someone tell director washington character like naval officer rank commander address mister big criticism it br br I know film play theater deserve wide distribution derek luke may well get oscar nominationbr br br br
positive,what s name loudon loudon what clearbr br that gag still get I twenty one year film releasedbr br I love film back love today must watch hundred time back day buy dvd recently could still remember dialoguebr br madonna play nikki finn young woman jail crime commit get decide seek revengebr br griffin dunne whatever happen he play attorney fiances father john mcmartin future fatherinlaw ask loudon take nikki prison bus station make sure get bus part suppose new public relation programme seemingly easy task complication aplenty funny dialogue admittedly stupidbutfunny scene along waybr br madonna stupid voice film able watch subtitle make one two line dialogue incomprehensible hence hand can not imagine normal voicebr br this film show madonnas comic side too lacking day perhaps genuinely funny role dunne make great foil haviland morris perfect uppity fiancebr br yes predictable yes joke could well think great film happily sit watch time more
positive,finally got hold excellent sazuma dvd film load interesting extra read quite lot it unfortunately miss stockholm film festival quite deliver thought would still worth watch like strange unique movie much rather watch recent socalled horror film vomit hollywood day detract experience I certain music cue sound date rely much cheap synth sound I tonalharmonic element score could lift out replace david kristians excellent sound design opinion otherwise dare angry picture welcome meditative poetic part like fade photograph sequence beautiful look forward see ascension applaud mitch karim effort produce nonmainstream cinema great inspiration soon embark short film production
positive,sure movie sappy sweet full clich entertain that s watch movie for entertained natasha henstridge stun even short hair smile radiant beauty can not disguise michael vartan i m sure woman love he two seem really like eacb film understand comment chemistry they guess see want seebr br olivia dabo michael rigoli fun watch even dabo british accent creep suppose bronx speech tell truth really notice read comment go back dvd dialogue sound british american I ideal role one exception br br its story two nice people getting marry significant other find soul mate one another may unlikely story say movie suppose play like documentary unrealistic drama screen every hour tube that s watch they escape humdrum daily live short time enter world character screen think actor good job it hey I m sentimental guy tear easily get wrong though sentimental scene movie plenty thosebr br I give I m save yet unseen super magnificent movie know come along day see advertise come movie channel lifetime movie whatever make note watch it think like it
positive,one jane austen movie find delightful read book first listen cd captivate young victorian girl could persuade marry man love due lack fortune education joy know anne evidently reunite lose love fact godmother try marry good nothing cousin who s money look snobbery come upper class class distinction divide couple follow heart captain wentworth realization still love anne seven year final understanding anne love constant time go let family interfere true happiness eventual marriage one truly love
negative,world say film tashan would good movie great pleasure case vijay krishna acharya make serious mistake take actress kareena kapoor unbearable throughout film tomboy look really go well even film story film make sense all everyone say quetin taratino india vijay quetin talent anil kapoor involve stupid movie anil actor large caliber film not akshay kumar also victim film saif style phoormola really good film disappoint
positive,film last piece three colour trilogy also well three one good movie s there s hardly another movie wisely consequently ask humanity respect every human being br br valentine irene jacob live geneva work model though boyfriend seem rather lonely one night accident injure dog lead owner retire jugde jeanlouis trintignant cynical spy neighbor phone call disgusted can not go away meet again two lonely soul meet become friend develop deep love other br br the story complex tell completely another connection young man represent judge valentine real love relationship friendshipbr br the actor wonderful irene jacob jeanlouis trintignant develop deep authentic friendship br br the topic endless validity fraternity contact other also respect right privacy alarmingly seem loose right more make movie like one even important might br br red one strong colour exist represent inner turmoil love anger passion use another protagonist bring unmatched depth movie masterpiece
negative,can not believe even try watch filth avid bhorror movie fan rivet prospect film popular budget horror filmmaker herschell gordon lewis unfortunately right opening film could not life I think bad movie this well maybe gigli firmly believe dr gore the body shop worse think it horrible plot move incredibly slow movie drag real horror speak of however admit pure hilarity couple scene dr gore mesmorize soontobe victim camera zoom overly large bulbous eye whole time purely putrid soundtrack add amusement laugh well part minute erect miracle woman movie waste away nearly minute show girlfriend teach speak talk frolic among marigold picnic etc unfortunately music play whole fandango speech whatsoever portion movie leave wish slit wrist dull edge butter knife almost want puke think movie like movie bad watch one
negative,nothing paul schrader fact hardcore one favorite film horror movie fan premature uproar original version exorcist prequel dominion one reading right now turn out scrap warner renny harlin substitute spruce thing make new version more scary opinion viewer prejudice become automatically juiced hate renny harlin take subject exorcist begin first frame film ever even unspooled judge ought know go theatrical premiere begin stubborn arm fold prepared absolute bad sure come imagine surprise find harlin begin much serious ever could conceive good performance stellan skarsgard young version father merrin struggle faith god great film mean nowhere near garbage prepare for well advance sight unseenbr br well finally see true garbage version paul schrader dominion prequel exorcist relentlessly talky uninteresting insipid stellan skarsgard trouble priest nowhere near interesting harlin film actor good part point obvious cgi effect beginning guess what they re dominion well remember silly end harlin rendition which ill also agree tainted rest movie well going find end schrader hell lot less lamebr br let also say resent nonsense that s present appreciate film well harlin say be retard can not appreciate subtle filmmake person despise stephen sommer mtvfashione mummy true fan suggestive discreet old horror film s s assure case I least some degree terror exorcisttype going harlin begin one real exercise tedium great challenge even certify insomniac go quite interesting hear horror fan try convince dominion prequel exorcist good they d already make mind advance already predispose lambasting harlin begin second learn paul schrader name get soak whiteout
negative,I ve see bad thing time half dead cow trying get waist high mud head collision two car thousand plate smash kitchen floor human being live like animalsbr br but never life see anything bad cat hatbr br this film worse bad hitler bad vllad impaler bad people put kittens microwavesbr br it disturb film time easybr br I use think joke elaborate joke mike myers maybe high cocaine sniff drug addled bet junkie lose bet somethingbr br i shudder
negative,many decade since last read mr wells war world the time machine work believe set london least england grade b c movie set eastern part united states orson well excellent radio adaptation year ago however film exhibit none quality narrative style mercury playhouse program thomas howell emoting would acceptable high school drama club actually embarrass he roll around grass hill cry my family family almost laughable reaction death brother three film version story see far bad gene barrys s version well additionaally first time ever see machine monster drip sticky saliva creature alien
positive,may or may not consider interesting reason really check movie first place want see performance man beat humphrey bogart casablanca role good actor oscar I still would give oscar bogie paul luka great job deserve nomination least well I m glad check movie out enjoy immensely think movie preach little mind enjoy speech never bore thembr br the act outstanding movie especially enjoy paul lukas lucile watson rightfully nominate oscar bette davis wrongfully nominate george coulouris and oddly eric roberts play middle child really enjoy character oddlooke boy talk like sort philosopher crack up even character name bodo funny br br the end lukass character force something consider wrong even though right reason work well agree feel do understand quite explain it message movie make good noble one scenery mean house beautiful act excellent watch movie ever get chancebr br
negative,another long line flick make people think know operate camera telling story within minute entire premise lay line absolutely mystery eliminate whole facet suspense halfway competent actor kill minute film be leave stupid character run around stupid thing low budget film can not afford expensive special effect cgi portion unsurprisingly unimpressive least valid attempt creature suit terrible see fall sidewalk director keep emphasize eye even red color show mirror shot dialogue clumsy uninspired line reminiscent aliens terminator last action sequence take place police station also ripoff terminator everyone hide one glass line office darkwolf smash into end girl call hero a good protector get partner original protector least three civilian mention dozen cop kill without get decent shoot off spite arsenal silver bullet submachine gun here real clincher bad writing could kill beast right beginning credit hold stripper flash red eye instead take custody
positive,rate r strong languageviolent content nudity quebec rating canadian home video ratingabr br fear black hat one funniest original comedy ever seenit basically gangsta rap version film spinal tapit shame many people hear gem filmif manage find film anywhere hesitate buy even like rap musicthere many comedy film give perfect tothe one think moment filmclerksthe world accord garpthe year old virgin chase amythis film hilarious stereotype gangsta rap culturethe movie woman name nina blackburn make documentary fictional rap group nwhnz hatsthey basically stereotype rap group make many controversial rap song kill gangstafear black hat excellent comedic film recommend even fan gangsta rap sceneit shame film top br br runtimemin br br
positive,one alfred hitchcock good film one underrated believe certainly exceed psycho the bird technical artistry brilliance macabre tense darkly humorous product leave awe quite timebr br robert walker create one hitchcock memorable villain fatherhate motherfixated but hitchcock villain mummys boys bruno disturb stunning performance illuminate whole film character obsessive apparently homosexual look deliberately effeminate tie hear describe european strangely charming dangerous cross farley granger certainly know become entangled bruno sordid web pair meet train bruno know inside information guy affair propose two swap murder other benefit walker kill granger slutty connive wife inhibit marriage beautiful anne whilst granger murder brunos father intensely hate everyone happy right winwin bruno assert wrong granger forget indecent proposal obsess walker do not commit murder determine hound granger complete side bargain too stranger become rivet suspenseful game catandmouse hitchs capable handsbr br hitchcock absolutely amazing create intriguing minor character build scene whore miriam granger estranged wife pregnant another man lasciviously slurps phallic icecream cone whilst openly eat bruno eye barbara morton anne sister deceptively sweet yet smart cunning young girl come crude remark hear bespectacle girl picture s senator morton authoritative selfabsorbe one dare film hitchcock ever make be typical hitch film subtly sexual detailbr br this fit filmnoir category focus murder lie deceit shadowy cinematography walker nut one age granger make convince troubled protagonist roman perhaps weak two never believe relationship granger still overwhelming positive cancel slight negative safely say one good american film ever madebr br just look hitch here originality technical skill see murder miriam reflect shatter glass game tennis turn one thrilling intense scene ever see innocent fairground turn place murder foul occurrence young boys balloon pop callously walker hitch obviously liked see the third manchildren delight ride carousel turn scream fastpaced terror hitch subvert normal everyday event like otherbr br the camerawork among well ever see hitchcock film premise todiefor slick ooze sophistication devilish charm crosscut walker granger character magnificent granger doordie tennis match vital villain walker rescue incriminate piece evidence lose drain hitch build villain nasty repulsive yet sympathetic oddly charming do anyone else find strangely attractive granger piece work tense walker hope get light drain need to anyway hold key storybr br you ll never view approach strange way see filmbr br amazingbr br
positive,movie really sick funny make friend cringe describe they see month ago still song shall gather river echo headbr br so basically tromatize romeo juliet go beyond would expect let say incest reference child molestation gore of course unfortunately sort happy endingsort ofit weird happy cappy capulet brilliant sort intellectual snobbish tone he s abusive civilised quote shakespeare anyone else filmall engage sadistic role husband fatherbr br the meat guy pretty cool too juliet fianc deeply infatuate she soon heartbroken tromeo tromeo true romantic he s handsome really sweet guy desperate find true love she doth make torch burn brightly unfortunately troma resort awful fake green vomit antic really get carry away stuff sometimes hey film make great impression I often refer real life situationswow that s patheticbr br anyway enjoy
negative,friend go movie know expect hope well come out slightly inform plot movie actually be though bad movie I ve ever see definitely recommend spend money see theater maybe friend rent its even worth rental cost either really want see itbr br when movie convolute idea what s go last five minute there s really much say defense act decent expect get movie shot good bogge lame plot poor scriptbr br this movie actually bad soon get out go purchase ticket see good movie cleanse mind recommend skip first step go see good movie instead
negative,movie think end seethe anger waste money time part everyone involve make it wonder alan moore refuse anything v vendetta a phenomenal film debaclebr br its bad entertaining way like showgirl bad way make want claw eye out plot hole size planet bad script memory horrible act decent actor visual great somehow flop br br it could good
negative,see dolemite also avenge disco godfather two fine work blaxploitation canon friend rudy ray moore film human tornado aka dolemite always hold special place heart sheer goofiness lack skill film production absolute enthusiasm frankly little much human tornado can not toppedbr br the opening scene set tone old pal dolemite shack white woman racist local cop raid house good reason know it woman bed ol dole none sheriff wife cry see he he make it dolemite cry real subtlety never strong pointbr br highlight cameo young ernie hudson of ghostbuster fame continuity error character look one way one shoot another next dolemite suit change color every single shot nightclub act queen bee demonic eye first scenebr br but real joy rudy ray moore himself man really think look cool movie certainly know why admire sheer enthusiasm have whether jump totally naked cliff bark order gang rhyme eg quick cave plan let mother dig grave man commit totally certainly go overboard nevermore time he s kung fu climactic battle film high speed occassionaly slow let rudy pose grit tooth I m sure want look like speed film effect really want we believe fast event the matrix notbr br human tornado much like original dolemite incompetent film enormous proportion least fun certainly give credit people effort much enjoy hearty recommendation
